date, mean_ice_coverage [%]
2024-02-27, 13.318504
2024-02-28, 5.86183
2024-02-29, 2.0885694
2024-03-01, 1.2167355
2024-03-02, 0.0
2024-03-03, 0.0
2024-03-04, 0.0
2024-03-05, 0.0
2024-03-06, 0.0
2024-03-07, 0.0
2024-03-08, 0.0
2024-03-09, 0.0
2024-03-10, 0.0
2024-03-11, 0.0
2024-03-12, 0.0
2024-03-13, 0.0
2024-03-14, 0.0
2024-03-15, 0.0
2024-03-16, 0.0
2024-03-17, 0.0
2024-03-18, 0.0
2024-03-19, 0.0
2024-03-20, 0.0
2024-03-21, 0.0
2024-03-22, 2.336772
2024-03-23, 0.0
2024-03-24, 0.0
2024-03-25, 0.0
2024-03-26, 0.0
2024-03-27, 0.0
2024-03-28, 0.0
2024-03-29, 0.0
2024-03-30, 0.0
2024-03-31, 0.0
2024-04-01, 0.0
2024-04-02, 0.0
2024-04-03, 0.0
2024-04-04, 0.0
2024-04-05, 0.0
2024-04-06, 0.0
2024-04-07, 0.0
2024-04-08, 0.0
2024-04-09, 0.0
2024-04-10, 0.0
2024-04-11, 0.0
2024-04-12, 0.0
2024-04-13, 0.0
2024-04-14, 0.0
2024-04-15, 0.0
2024-04-16, 0.0
2024-04-17, 0.0
2024-04-18, 0.0
2024-04-19, 0.0
2024-04-20, 0.0
2024-04-21, 0.0
2024-04-22, 0.0
2024-04-23, 0.0
2024-04-24, 0.0
2024-04-25, 0.0
2024-04-26, 0.0
2024-04-27, 0.0
2024-04-28, 0.0
2024-04-29, 0.0
2024-04-30, 0.0
2024-05-01, 0.0
2024-05-02, 0.0
2024-05-03, 0.0
2024-05-04, 0.0
2024-05-05, 0.0
2024-05-06, 0.0
2024-05-07, 0.0
2024-05-08, 0.0
2024-05-09, 0.0
2024-05-10, 0.0
2024-05-11, 0.0
2024-05-12, 0.0
2024-05-13, 0.0
2024-05-14, 0.0
2024-05-15, 0.0
2024-05-16, 0.0
2024-05-17, 0.0
2024-05-18, 0.0
2024-05-19, 0.0
2024-05-20, 0.0
2024-05-21, 0.0
2024-05-22, 0.0
2024-05-23, 0.0
2024-05-24, 0.0
2024-05-25, 0.0
2024-05-26, 0.0
2024-05-27, 0.0
2024-05-28, 0.0
2024-05-29, 0.0
2024-05-30, 0.0
2024-05-31, 0.0
2024-06-01, 0.0
2024-06-02, 0.0
2024-06-03, 0.0
2024-06-04, 0.0
2024-06-05, 0.0
2024-06-06, 0.0
2024-06-07, 0.0
2024-06-08, 0.0
2024-06-09, 0.0
2024-06-10, 0.0
2024-06-11, 0.0
2024-06-12, 0.0
2024-06-13, 0.0
2024-06-14, 0.0
2024-06-15, 0.0
2024-06-16, 0.0
2024-06-17, 0.0
2024-06-18, 0.0
2024-06-19, 0.0
2024-06-20, 0.0
2024-06-21, 0.0
2024-06-22, 0.0
2024-06-23, 0.0
2024-06-24, 0.0
2024-06-25, 0.0
2024-06-26, 0.0
2024-06-27, 0.0
2024-06-28, 0.0
2024-06-29, 0.0
2024-06-30, 0.0
2024-11-01, 0.0
2024-11-02, 0.0
2024-11-03, 0.0
2024-11-04, 0.0
2024-11-05, 0.0
2024-11-06, 0.0
2024-11-07, 0.0
2024-11-08, 0.0
2024-11-09, 0.0
2024-11-10, 0.0
2024-11-11, 0.0
2024-11-12, 0.0
2024-11-13, 0.0
2024-11-14, 0.0
2024-11-15, 0.0
2024-11-16, 0.0
2024-11-17, 0.0
2024-11-18, 0.0
2024-11-19, 0.0
2024-11-20, 0.0
2024-11-21, 0.0
2024-11-22, 0.0
2024-11-23, 0.0
2024-11-24, 0.0
2024-11-25, 0.0
2024-11-26, 0.0
2024-11-27, 0.0
2024-11-28, 0.0
2024-11-29, 0.0
2024-11-30, 0.0
2024-12-01, 1.589771
2024-12-02, 4.300713
2024-12-03, 3.2277014
2024-12-04, 6.1782093
2024-12-05, 3.821691
2024-12-06, 16.158714
2024-12-07, 36.10059
2024-12-08, 18.906536
2024-12-09, 3.2277014
2024-12-10, 9.310229
2024-12-11, 8.67815
2024-12-12, 18.390406
2024-12-13, 55.92007
2024-12-14, 70.66777
2024-12-15, 54.292706
2024-12-16, 30.813484
2024-12-17, 41.225018
2024-12-18, 13.376119
2024-12-19, 10.885976
2024-12-20, 49.769943
2024-12-21, 56.791187
2024-12-22, 77.26077
2024-12-23, 77.57695
2024-12-24, 79.866554
2024-12-25, 71.834526
2024-12-26, 87.24147
2024-12-27, 74.87033
2024-12-28, 61.46487
2024-12-29, 51.158512
2024-12-30, 34.626644
2024-12-31, 38.27551
2025-01-01, 10.449968
2025-01-02, 5.9956436
2025-01-03, 65.96635
2025-01-04, 59.368294
2025-01-05, 75.0917
2025-01-06, 80.23467
2025-01-07, 80.747894
2025-01-08, 82.792946
2025-01-09, 84.16746
2025-01-10, 89.387726
2025-01-11, 93.972664
2025-01-12, 92.34459
2025-01-13, 83.714066
2025-01-14, 89.98022
2025-01-15, 94.35738
2025-01-16, 97.90043
2025-01-17, 94.02134
2025-01-18, 91.66589
2025-01-19, 88.75337
2025-01-20, 96.33961
2025-01-21, 98.063385
2025-01-22, 98.18334
2025-01-23, 97.005714
2025-01-24, 97.571556
2025-01-25, 96.90984
2025-01-26, 95.05614
2025-01-27, 95.70737
2025-01-28, 96.65521
2025-01-29, 91.13889
2025-01-30, 94.32394
2025-01-31, 93.6673
2025-02-01, 97.02876
2025-02-02, 97.97696
2025-02-03, 96.58908
2025-02-04, 98.17818
2025-02-05, 98.88781
2025-02-06, 98.82069
2025-02-07, 93.21644
2025-02-08, 95.78993
2025-02-09, 97.18281
2025-02-10, 96.96743
2025-02-11, 95.847176
2025-02-12, 98.83453
2025-02-13, 99.05024
2025-02-14, 94.54355
2025-02-15, 96.55028
2025-02-16, 98.21666
2025-02-17, 99.357056
2025-02-18, 98.94504
2025-02-19, 99.443054
2025-02-20, 99.61074
2025-02-21, 99.61074
2025-02-22, 93.6772
2025-02-23, 94.97019
2025-02-24, 91.9523
2025-02-25, 93.90675
2025-02-26, 98.96376
2025-02-27, 93.31278
2025-02-28, 91.49255
2025-03-01, 89.32774
2025-03-02, 95.89902
2025-03-03, 98.676346
2025-03-04, 87.95797
2025-03-05, 88.81046
2025-03-06, 76.451416
2025-03-07, 76.202354
2025-03-08, 73.37193
2025-03-09, 64.984344
2025-03-10, 60.458683
2025-03-11, 53.261883
2025-03-12, 49.4703
2025-03-13, 40.931114
2025-03-14, 36.998787
2025-03-15, 25.41434
2025-03-16, 20.360636
2025-03-17, 0.0
2025-03-18, 0.0
2025-03-19, 0.0
2025-03-20, 0.0
2025-03-21, 0.0
2025-03-22, 0.0
2025-03-23, 0.0
2025-03-24, 0.0
2025-03-25, 0.0
2025-03-26, 0.0
2025-03-27, 0.0
2025-03-28, 0.0
2025-03-29, 0.0
2025-03-30, 0.0
2025-03-31, 0.0
2025-04-01, 0.0
2025-04-02, 0.0
2025-04-03, 0.0
2025-04-04, 0.0
2025-04-05, 0.0
2025-04-06, 0.0
2025-04-07, 0.0
2025-04-08, 0.0
2025-04-09, 0.0
2025-04-10, 0.0
2025-04-11, 0.0
2025-04-12, 0.0
2025-04-13, 0.0
2025-04-14, 0.0
2025-04-15, 0.0
2025-04-16, 0.0
2025-04-17, 0.0
2025-04-18, 0.0
2025-04-19, 0.0
2025-04-20, 0.0
2025-04-21, 0.0
2025-04-22, 0.0
2025-04-23, 0.0
2025-04-24, 0.0
2025-04-25, 0.0
2025-04-26, 0.0
2025-04-27, 0.0
2025-04-28, 0.0
2025-04-29, 0.0
2025-04-30, 0.0
2025-05-01, 0.0
